id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Emerald Canopy,Rainforest Echo,classical,peaceful,0.15,65,0.30,0.20,0.95
12,Cyber Highway,Data Stream,techno,energetic,0.88,128,0.55,0.85,0.02
13,Deep Blue Sea,Coral Keys,soul,melancholy,0.25,68,0.22,0.45,0.80
14,Mountain Summit,Trailblazer,folk,triumphant,0.72,115,0.75,0.62,0.65
15,Street Lights,City Beat,hip hop,confident,0.65,92,0.68,0.90,0.12
16,Moonlit Waltz,Starlight Strings,classical,romantic,0.22,84,0.42,0.38,0.98
17,Neon Samurai,Ronin X,electronic,mysterious,0.78,140,0.35,0.74,0.08
18,Vintage Record,Analog Dream,blues,nostalgic,0.45,75,0.52,0.58,0.75
19,Desert Horizon,Sand Wanderer,world,contemplative,0.30,105,0.40,0.48,0.88
20,Final Lap,Turbo Drive,metal,aggressive,0.95,165,0.28,0.42,0.01
